freq,unit,citizen,sex,age,asyl_app,geo\TIME_PERIOD	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 	2025-03 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,EE	120 	125 	90 	115 	95 	90 	105 	95 	75 	125 	100 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,EL	3745 	3455 	4720 	5730 	6220 	6860 	8255 	8265 	6415 	5200 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,ES	15430 	16275 	14855 	11925 	10580 	12510 	15780 	14925 	11160 	13225 	12805 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,EU27_2020	77050 	77920 	71295 	75755 	70235 	76725 	86335 	74485 	62075 e	66800 e	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,FI	150 	200 	150 	170 	190 	185 	205 	165 	190 	135 	125 	105 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,FR	10745 	10560 	10450 	11250 	9965 	11450 	12545 	10790 	11085 	11895 	10725 	10690 e
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,HR	120 	115 	80 	70 	45 	90 	110 	70 	95 	75 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,HU	5 	5 	0 	5 	0 	5 	5 	0 	0 	5 	10 	5 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,IE	2025 	2000 	1400 	1720 	1685 	1545 	1045 	880 	990 	1070 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,IS	155 	180 	165 	160 	125 	130 	135 	125 	120 	110 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,IT	13485 	14770 	11685 	13235 	9620 	11895 	13715 	11620 	9715 	10905 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,LI	5 	5 	0 	10 	5 	5 	10 	5 	5 	5 	5 	5 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,LT	20 	25 	10 	20 	30 	20 	15 	30 	15 	20 	20 	20 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,LU	130 	155 	130 	170 	165 	185 	245 	205 	245 	185 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,LV	60 	90 	40 	90 	215 	75 	55 	25 	50 	35 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,ME	25 	5 	10 	10 	10 	10 	10 	5 	20 	5 	10 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,MT	40 	25 	25 	25 	30 	30 	45 	40 	20 	55 	35 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,NL	2870 	2790 	2035 	2575 	2610 	2900 	2720 	2355 	2135 	1645 	1540 	1325 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,NO	315 	330 	345 	425 	435 	530 	615 	495 	395 	315 	275 	230 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,PL	1095 	1495 	1615 	1220 	1150 	1435 	1340 	1320 	1120 	1265 	1225 	1155 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,PT	170 	155 	195 	170 	155 	160 	195 	160 	: 	: 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,RO	205 	140 	100 	225 	195 	235 	160 	145 	95 	105 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,SE	575 	580 	495 	485 	535 	595 	565 	490 	480 	475 	520 	440 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,SI	410 	305 	275 	450 	575 	475 	540 	450 	445 	255 	260 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,SK	10 	10 	5 	15 	10 	10 	10 	10 	15 	10 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,AT	265 	170 	210 	225 	200 	175 	315 	365 	270 	590 	515 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,BE	535 	605 	505 	535 	525 	560 	685 	445 	525 	690 	630 	560 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,BG	10 	5 	10 	5 	10 	0 	10 	15 	10 	5 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,CH	575 	645 	295 	300 	250 	220 	210 	260 	215 	190 	190 	220 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,CY	210 	155 	120 	170 	80 	85 	100 	95 	40 	95 	115 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,CZ	30 	30 	25 	30 	25 	25 	30 	30 	20 	15 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,DE	1935 	1580 	1615 	1770 	1605 	1615 	1865 	1615 	1530 	1660 	1590 	1660 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,DK	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,EE	0 	0 	0 	5 	0 	5 	5 	0 	5 	0 	0 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,EL	580 	80 	405 	640 	560 	230 	215 	235 	265 	770 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,ES	160 	195 	145 	125 	175 	225 	250 	210 	170 	155 	170 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,EU27_2020	7305 	6310 	6550 	7110 	6340 	6415 	8045 	7005 	6560 	8080 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,FI	50 	35 	55 	45 	40 	60 	50 	50 	30 	40 	55 	60 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,FR	2215 	1905 	2160 	2075 	1900 	2055 	2960 	2635 	2310 	2465 	2340 	2230 e
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,HR	20 	5 	5 	15 	15 	10 	15 	10 	15 	15 	: 	: 
