,freq,citizen,sex,unit,age,asyl_app,geo,year,applications
65,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SI,2013,240.0
66,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,SK,2013,290.0
67,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,UK,2013,29640.0
68,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,AT,2013,
69,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BE,2013,
70,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,BG,2013,
71,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CH,2013,
72,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CY,2013,
73,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,CZ,2013,
74,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,DE,2013,
75,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,DK,2013,
76,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,EE,2013,
77,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,EL,2013,
78,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,ES,2013,
80,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,FI,2013,
81,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,FR,2013,
82,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,HR,2013,
83,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,HU,2013,
84,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,IE,2013,
85,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,IS,2013,
86,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,IT,2013,
87,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LI,2013,
88,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LT,2013,
89,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LU,2013,
90,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,LV,2013,
91,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,ME,2013,
92,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,MT,2013,
93,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,NL,2013,
94,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,NO,2013,
95,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,PL,2013,
96,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,PT,2013,
97,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,RO,2013,
98,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,SE,2013,
99,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,SI,2013,
100,A,EXT_EU27_2020,T,PER,TOTAL,SSEQ,SK,2013,
101,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2014,28035.0
102,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2014,22710.0
103,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2014,11080.0
104,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2014,23560.0
105,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CY,2014,1745.0
106,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CZ,2014,1145.0
107,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DE,2014,202645.0
108,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DK,2014,14680.0
109,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EE,2014,155.0
110,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EL,2014,9430.0
111,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ES,2014,5615.0
113,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FI,2014,3620.0
114,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FR,2014,64310.0
115,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HR,2014,450.0
116,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HU,2014,42775.0
117,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IE,2014,1450.0
118,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IS,2014,170.0
119,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IT,2014,64625.0
120,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LI,2014,65.0
121,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LT,2014,440.0
122,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LU,2014,1150.0
123,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LV,2014,375.0
124,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ME,2014,
125,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,MT,2014,1350.0
126,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NL,2014,24495.0
127,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NO,2014,11415.0
128,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PL,2014,8020.0
129,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PT,2014,440.0
130,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,RO,2014,1545.0
131,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SE,2014,81185.0
132,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SI,2014,385.0
133,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SK,2014,330.0
134,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,UK,2014,32785.0
135,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,AT,2014,25675.0
136,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,BE,2014,14045.0
137,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,BG,2014,10805.0
138,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CH,2014,21940.0
139,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CY,2014,1480.0
140,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CZ,2014,905.0
141,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,DE,2014,172945.0
142,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,DK,2014,14535.0
143,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EE,2014,145.0
144,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,EL,2014,7585.0
145,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,ES,2014,5460.0
147,A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,FI,2014,3490.0
